DenominatorType,yearid,Level of Data,Subject,District,School,Grade,Subgroup,Total FAY Students,level1%,level2%,level3%,level4%,Above prof% (lvl 3&4),Participate%,Avg Score,Report Date
Regular,2021,District Level,mat,Allenstown,District Data,All grades,All students,200 - 205,39,31,21,< 10 %,30,92,Not available,10/4/2021
Regular,2021,District Level,mat,Allenstown,District Data,All grades,Male,95 - 100,31,35,22,12,35,94,Not available,10/4/2021
Regular,2021,District Level,mat,Allenstown,District Data,All grades,Female,105 - 110,47,28,19,< 10 %,26,91,Not available,10/4/2021
Regular,2021,District Level,mat,Allenstown,District Data,All grades,Hispanic, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,Not available,10/4/2021
Regular,2021,District Level,mat,Allenstown,District Data,All grades,Black, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,Not available,10/4/2021
Regular,2021,District Level,mat,Allenstown,District Data,All grades,White,180 - 185,38,32,21,10,31,92,Not available,10/4/2021
Regular,2021,District Level,mat,Allenstown,District Data,All grades,Two or More races, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,91,Not available,10/4/2021
Regular,2021,District Level,mat,Allenstown,District Data,All grades,EL - Current, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,Not available,10/4/2021
Regular,2021,District Level,mat,Allenstown,District Data,All grades,IEP/SWD,30 - 35,74,18,< 10 %,< 10 %,< 10 %,81,Not available,10/4/2021
Regular,2021,District Level,mat,Allenstown,District Data,All grades,SES,100 - 105,47,33,14,< 10 %,20,90,Not available,10/4/2021
Regular,2021,District Level,mat,Allenstown,District Data,All grades,Asian+PI+Hawaiian, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,Not available,10/4/2021
Regular,2021,District Level,mat,Allenstown,District Data,All grades,EL - Curr + Monitor Yr1-4, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,Not available,10/4/2021
Regular,2021,District Level,mat,Allenstown,District Data,All grades,Homeless, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,Not available,10/4/2021
Regular,2021,District Level,mat,Alton,District Data,All grades,All students,180 - 185,36,33,24,< 10 %,32,73,Not available,10/4/2021
Regular,2021,District Level,mat,Alton,District Data,All grades,Male,90 - 95,35,36,18,11,29,71,Not available,10/4/2021
Regular,2021,District Level,mat,Alton,District Data,All grades,Female,85 - 90,36,30,31,< 10 %,34,74,Not available,10/4/2021
Regular,2021,District Level,mat,Alton,District Data,All grades,Hispanic, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,Not available,10/4/2021
Regular,2021,District Level,mat,Alton,District Data,All grades,White,165 - 170,35,33,24,< 10 %,32,72,Not available,10/4/2021
Regular,2021,District Level,mat,Alton,District Data,All grades,Two or More races, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,Not available,10/4/2021
Regular,2021,District Level,mat,Alton,District Data,All grades,IEP/SWD,30 - 35,63,30,< 10 %,< 10 %,< 10 %,63,Not available,10/4/2021
